Initial board configuration: BBBI..G..IKLGAAJKLCCHJKM..HDDM.EEE..

[['B' 'B' 'B' 'I' '.' '.']
 ['G' '.' '.' 'I' 'K' 'L']
 ['G' 'A' 'A' 'J' 'K' 'L']
 ['C' 'C' 'H' 'J' 'K' 'M']
 ['.' '.' 'H' 'D' 'D' 'M']
 ['.' 'E' 'E' 'E' '.' '.']]

Car fuel available: I:100; M:100; D:100; J:100; C:100; L:100; E:100; A:100; B:100; K:100; G:100; H:100; 

Runtime: 1.3100011348724365
Search path length: 691
Solution path length: 85
Solution path: | L    up 1| E right 2| H  down 1| C right 1| G  down 3| C  left 1| H    up 1| E  left 2| M  down 1| E right 1| A  left 1| H    up 1| D  left 2| J  down 1| E  left 1| K  down 2| L  down 1| I  down 1| B right 3| H    up 2| M    up 1| C right 1| G    up 1| E  left 1| M  down 1| J  down 1| C right 1| M    up 1| A right 1| C  left 1| G    up 3| M  down 1| J    up 1| E right 1| M    up 1| D  left 1| E  left 1| C  left 1| M  down 1| E right 1| L  down 1| D right 1| E  left 1| J  down 1| D  left 1| C right 2| L    up 1| M    up 1| A  left 1| D right 1| M  down 1| C  left 2| J    up 1| E right 1| M    up 1| D  left 1| H  down 3| E  left 1| M  down 1| J  down 1| L  down 1| I  down 1| H    up 3| D right 1| C right 1| L    up 1| M    up 1| D  left 1| C  left 1| H  down 3| A right 1| M  down 1| G  down 1| L  down 1| I    up 1| J    up 1| E right 1| L    up 1| M    up 1| E  left 1| J  down 1| B  left 3| L    up 1| I    up 1| A right 3

 E right 1		99 G.HBBBG.HI.LAA.I.LCC.JK..DDJKM.EEEKM 
 M    up 1		99 G.HBBBG.HI.LAA.I.LCC.JKM.DDJKM.EEEK. 
 D  left 1		99 G.HBBBG.HI.LAA.I.LCC.JKMDD.JKM.EEEK. 
 H  down 3		97 G..BBBG..I.LAA.I.LCCHJKMDDHJKM.EEEK. 
 E  left 1		99 G..BBBG..I.LAA.I.LCCHJKMDDHJKMEEE.K. 
 M  down 1		99 G..BBBG..I.LAA.I.LCCHJK.DDHJKMEEE.KM 
 J  down 1		99 G..BBBG..I.LAA.I.LCCH.K.DDHJKMEEEJKM 
 L  down 1		99 G..BBBG..I..AA.I.LCCH.KLDDHJKMEEEJKM 
 I  down 1		99 G..BBBG.....AA.I.LCCHIKLDDHJKMEEEJKM 
 H    up 3		97 G.HBBBG.H...AA.I.LCC.IKLDD.JKMEEEJKM 
 D right 1		99 G.HBBBG.H...AA.I.LCC.IKL.DDJKMEEEJKM 
 C right 1		99 G.HBBBG.H...AA.I.L.CCIKL.DDJKMEEEJKM 
 L    up 1		99 G.HBBBG.H..LAA.I.L.CCIK..DDJKMEEEJKM 
 M    up 1		99 G.HBBBG.H..LAA.I.L.CCIKM.DDJKMEEEJK. 
 D  left 1		99 G.HBBBG.H..LAA.I.L.CCIKMDD.JKMEEEJK. 
 C  left 1		99 G.HBBBG.H..LAA.I.LCC.IKMDD.JKMEEEJK. 
 H  down 3		97 G..BBBG....LAA.I.LCCHIKMDDHJKMEEEJK. 
 A right 1		99 G..BBBG....L.AAI.LCCHIKMDDHJKMEEEJK. 
 M  down 1		99 G..BBBG....L.AAI.LCCHIK.DDHJKMEEEJKM 
 G  down 1		99 ...BBBG....LGAAI.LCCHIK.DDHJKMEEEJKM 
 L  down 1		99 ...BBBG.....GAAI.LCCHIKLDDHJKMEEEJKM 
 I    up 1		99 ...BBBG..I..GAAI.LCCH.KLDDHJKMEEEJKM 
 J    up 1		99 ...BBBG..I..GAAI.LCCHJKLDDHJKMEEE.KM 
 E right 1		99 ...BBBG..I..GAAI.LCCHJKLDDHJKM.EEEKM 
 L    up 1		99 ...BBBG..I.LGAAI.LCCHJK.DDHJKM.EEEKM 
 M    up 1		99 ...BBBG..I.LGAAI.LCCHJKMDDHJKM.EEEK. 
 E  left 1		99 ...BBBG..I.LGAAI.LCCHJKMDDHJKMEEE.K. 
 J  down 1		99 ...BBBG..I.LGAAI.LCCH.KMDDHJKMEEEJK. 
 B  left 3		97 BBB...G..I.LGAAI.LCCH.KMDDHJKMEEEJK. 
 L    up 1		99 BBB..LG..I.LGAAI..CCH.KMDDHJKMEEEJK. 
 I    up 1		99 BBBI.LG..I.LGAA...CCH.KMDDHJKMEEEJK. 
 A right 3		97 BBBI.LG..I.LG...AACCH.KMDDHJKMEEEJK. 

A93 B94 C88 D91 E85 G92 H86 I96 J92 K98 L91 M86 
[['B' 'B' 'B' 'I' '.' 'L']
 ['G' '.' '.' 'I' '.' 'L']
 ['G' '.' '.' '.' 'A' 'A']
 ['C' 'C' 'H' '.' 'K' 'M']
 ['D' 'D' 'H' 'J' 'K' 'M']
 ['E' 'E' 'E' 'J' 'K' '.']]
