4 0 4 .JK.BB.JK.DDAA.M..EE.M.NI.LGGNI.LHHH A96 B94 D99 E98 G99 H93 I97 J99 K98 L97 M99 N98 
4 0 4 .JK.BB.JKMDDAA.M.NEE...NI.LGG.I.LHHH A96 B94 D99 E98 G99 H93 I97 J99 K98 L97 M98 N99 
3 0 3 .JK.BB.JKMDDAA.M.N...EENI.LGG.I.LHHH A96 B94 D99 E95 G99 H93 I97 J99 K98 L97 M98 N99 
3 0 3 .JK.BB.JKMDDAA.M.N..LEENI.LGG.I..HHH A96 B94 D99 E95 G99 H93 I97 J99 K98 L96 M98 N99 
3 0 3 .JK.BB.JKMDDAA.M.N..LEENI.LGG.IHHH.. A96 B94 D99 E95 G99 H91 I97 J99 K98 L96 M98 N99 
3 0 3 .JK.BB.JKMDDAA.M.NI.LEENI.LGG..HHH.. A96 B94 D99 E95 G99 H91 I96 J99 K98 L96 M98 N99 
3 0 3 .JK.BB.JKMDDAA.M.NI.LEENI.LGG...HHH. A96 B94 D99 E95 G99 H90 I96 J99 K98 L96 M98 N99 
3 0 3 .JK.BB.JKMDDAA.M..I.LEE.I.LGGN..HHHN A96 B94 D99 E95 G99 H90 I96 J99 K98 L96 M98 N97 
3 0 3 .JK.BB.JKMDDAA.M....LEE.I.LGGNI.HHHN A96 B94 D99 E95 G99 H90 I95 J99 K98 L96 M98 N97 
3 0 3 .JK.BB.JKMDDAA.M..I.LEE.I.LGGN.HHH.N A96 B94 D99 E95 G99 H91 I96 J99 K98 L96 M98 N97 
3 0 3 .JK.BB.JKMDDAA.M....LEE.I.LGGNIHHH.N A96 B94 D99 E95 G99 H91 I97 J99 K98 L96 M98 N97 
3 0 3 .JK.BB.JKMDDAA.M.N..LEENI.LGG.I.HHH. A96 B94 D99 E95 G99 H92 I97 J99 K98 L96 M98 N99 
3 0 3 .JK.BB.JKMDDAA.M.NI.LEENI.LGG....HHH A96 B94 D99 E95 G99 H93 I96 J99 K98 L96 M98 N99 
3 0 3 .JK.BB.JKMDDAA.M.NI..EENI.LGG...LHHH A96 B94 D99 E95 G99 H93 I96 J99 K98 L97 M98 N99 
4 0 4 .JK.BB.JKMDDAA.M.NI..EENI.L.GG..LHHH A96 B94 D99 E95 G98 H93 I96 J99 K98 L97 M98 N99 
4 0 4 .JK.BB.JKMDDAA.M..I..EENI.LGGN..LHHH A96 B94 D99 E95 G99 H93 I96 J99 K98 L97 M98 N98 
4 0 4 .JK.BB.JKMDDAA.M.NIEE..NI.LGG...LHHH A96 B94 D99 E93 G99 H93 I96 J99 K98 L97 M98 N99 
4 0 4 .JKBB..JKMDDAA.M.NIEE..NI.LGG...LHHH A96 B93 D99 E93 G99 H93 I96 J99 K98 L97 M98 N99 
4 0 4 .JK.BB.JKMDDAA.M.NI.EE.NI.LGG...LHHH A96 B94 D99 E94 G99 H93 I96 J99 K98 L97 M98 N99 
4 0 4 .JK.BB.JKMDD.AAM.NI..EENI.LGG...LHHH A95 B94 D99 E95 G99 H93 I96 J99 K98 L97 M98 N99 
4 0 4 IJK.BBIJKMDD.AAM.N...EEN..LGG...LHHH A95 B94 D99 E95 G99 H93 I93 J99 K98 L97 M98 N99 
4 0 4 IJK.BBIJKMDD.AAM.N..LEEN..LGG....HHH A95 B94 D99 E95 G99 H93 I93 J99 K98 L96 M98 N99 
4 0 4 IJK.BBIJKMDDAA.M.N..LEEN..LGG....HHH A94 B94 D99 E95 G99 H93 I93 J99 K98 L96 M98 N99 
4 0 4 IJK.BBIJKMDDAA.M.N..LEEN..LGG.HHH... A94 B94 D99 E95 G99 H90 I93 J99 K98 L96 M98 N99 
4 0 4 IJK.BBIJKMDDAA.M....LEE...LGGNHHH..N A94 B94 D99 E95 G99 H90 I93 J99 K98 L96 M98 N97 
4 0 4 IJK.BBIJKMDDAA.M....LEE...LGGN..HHHN A94 B94 D99 E95 G99 H88 I93 J99 K98 L96 M98 N97 
4 0 4 IJK.BBIJKMDDAA.M....LEE...LGGN.HHH.N A94 B94 D99 E95 G99 H89 I93 J99 K98 L96 M98 N97 
4 0 4 IJK.BBIJKMDDAA.M.N..LEEN..LGG..HHH.. A94 B94 D99 E95 G99 H91 I93 J99 K98 L96 M98 N99 
4 0 4 IJK.BBIJKMDDAA.M.N..LEEN..LGG...HHH. A94 B94 D99 E95 G99 H92 I93 J99 K98 L96 M98 N99 
