 I  down 1		99 BBBCCL..DD.L..JAALI.JEEEI..KFFIHHK.. 
 D right 1		99 BBBCCL...DDL..JAALI.JEEEI..KFFIHHK.. 
 J    up 1		99 BBBCCL..JDDL..JAALI..EEEI..KFFIHHK.. 
 E  left 2		98 BBBCCL..JDDL..JAALIEEE..I..KFFIHHK.. 
 I    up 2		98 BBBCCLI.JDDLI.JAALIEEE.....KFF.HHK.. 
 H  left 1		99 BBBCCLI.JDDLI.JAALIEEE.....KFFHH.K.. 
 E right 2		98 BBBCCLI.JDDLI.JAALI..EEE...KFFHH.K.. 
 I  down 1		99 BBBCCL..JDDLI.JAALI..EEEI..KFFHH.K.. 
 E  left 1		99 BBBCCL..JDDLI.JAALI.EEE.I..KFFHH.K.. 
 H right 1		99 BBBCCL..JDDLI.JAALI.EEE.I..KFF.HHK.. 
 L  down 1		99 BBBCC...JDDLI.JAALI.EEELI..KFF.HHK.. 
 I  down 1		99 BBBCC...JDDL..JAALI.EEELI..KFFIHHK.. 
 C right 1		99 BBB.CC..JDDL..JAALI.EEELI..KFFIHHK.. 
 E  left 1		99 BBB.CC..JDDL..JAALIEEE.LI..KFFIHHK.. 
 I    up 2		98 BBB.CCI.JDDLI.JAALIEEE.L...KFF.HHK.. 
 H  left 1		99 BBB.CCI.JDDLI.JAALIEEE.L...KFFHH.K.. 
 E right 1		99 BBB.CCI.JDDLI.JAALI.EEEL...KFFHH.K.. 
 I  down 1		99 BBB.CC..JDDLI.JAALI.EEELI..KFFHH.K.. 
 B right 1		99 .BBBCC..JDDLI.JAALI.EEELI..KFFHH.K.. 
 H right 1		99 .BBBCC..JDDLI.JAALI.EEELI..KFF.HHK.. 
 E  left 1		99 .BBBCC..JDDLI.JAALIEEE.LI..KFF.HHK.. 
 I    up 2		98 IBBBCCI.JDDLI.JAAL.EEE.L...KFF.HHK.. 
 H  left 1		99 IBBBCCI.JDDLI.JAAL.EEE.L...KFFHH.K.. 
 E  left 1		99 IBBBCCI.JDDLI.JAALEEE..L...KFFHH.K.. 
 K    up 1		99 IBBBCCI.JDDLI.JAALEEEK.L...KFFHH.... 
 H right 4		96 IBBBCCI.JDDLI.JAALEEEK.L...KFF....HH 
 K  down 1		99 IBBBCCI.JDDLI.JAALEEE..L...KFF...KHH 
 E right 2		98 IBBBCCI.JDDLI.JAAL..EEEL...KFF...KHH 
 I  down 3		97 .BBBCC..JDDL..JAALI.EEELI..KFFI..KHH 
 E  left 1		99 .BBBCC..JDDL..JAALIEEE.LI..KFFI..KHH 
 I    up 2		98 .BBBCCI.JDDLI.JAALIEEE.L...KFF...KHH 
 B  left 1		99 BBB.CCI.JDDLI.JAALIEEE.L...KFF...KHH 
 E right 1		99 BBB.CCI.JDDLI.JAALI.EEEL...KFF...KHH 
 I  down 1		99 BBB.CC..JDDLI.JAALI.EEELI..KFF...KHH 
 C  left 1		99 BBBCC...JDDLI.JAALI.EEELI..KFF...KHH 
 I  down 1		99 BBBCC...JDDL..JAALI.EEELI..KFFI..KHH 
 E  left 1		99 BBBCC...JDDL..JAALIEEE.LI..KFFI..KHH 
 L    up 1		99 BBBCCL..JDDL..JAALIEEE..I..KFFI..KHH 
 E right 2		98 BBBCCL..JDDL..JAALI..EEEI..KFFI..KHH 
 I    up 2		98 BBBCCLI.JDDLI.JAALI..EEE...KFF...KHH 
 J  down 3		97 BBBCCLI..DDLI..AALI..EEE..JKFF..JKHH 
 E  left 2		98 BBBCCLI..DDLI..AALIEEE....JKFF..JKHH 
 I  down 2		98 BBBCCL...DDL...AALIEEE..I.JKFFI.JKHH 
 E right 1		99 BBBCCL...DDL...AALI.EEE.I.JKFFI.JKHH 
 I    up 1		99 BBBCCL...DDLI..AALI.EEE.I.JKFF..JKHH 
 L  down 1		99 BBBCC....DDLI..AALI.EEELI.JKFF..JKHH 
 E  left 1		99 BBBCC....DDLI..AALIEEE.LI.JKFF..JKHH 
 A  left 2		98 BBBCC....DDLIAA..LIEEE.LI.JKFF..JKHH 
 I  down 1		99 BBBCC....DDL.AA..LIEEE.LI.JKFFI.JKHH 
 E right 1		99 BBBCC....DDL.AA..LI.EEELI.JKFFI.JKHH 
 I    up 2		98 BBBCC.I..DDLIAA..LI.EEEL..JKFF..JKHH 
 A right 1		99 BBBCC.I..DDLI.AA.LI.EEEL..JKFF..JKHH 
 E  left 1		99 BBBCC.I..DDLI.AA.LIEEE.L..JKFF..JKHH 
 D  left 2		98 BBBCC.IDD..LI.AA.LIEEE.L..JKFF..JKHH 
 I  down 2		98 BBBCC..DD..L..AA.LIEEE.LI.JKFFI.JKHH 
 E right 1		99 BBBCC..DD..L..AA.LI.EEELI.JKFFI.JKHH 
 I    up 1		99 BBBCC..DD..LI.AA.LI.EEELI.JKFF..JKHH 
 A  left 1		99 BBBCC..DD..LIAA..LI.EEELI.JKFF..JKHH 
 L    up 1		99 BBBCCL.DD..LIAA..LI.EEE.I.JKFF..JKHH 
 I  down 1		99 BBBCCL.DD..L.AA..LI.EEE.I.JKFFI.JKHH 
 E right 1		99 BBBCCL.DD..L.AA..LI..EEEI.JKFFI.JKHH 
 J    up 1		99 BBBCCL.DD..L.AA..LI.JEEEI.JKFFI..KHH 
 I    up 2		98 BBBCCLIDD..LIAA..LI.JEEE..JKFF...KHH 
 A right 2		98 BBBCCLIDD..LI..AALI.JEEE..JKFF...KHH 
 J    up 1		99 BBBCCLIDD..LI.JAALI.JEEE...KFF...KHH 
 I  down 2		98 BBBCCL.DD..L..JAALI.JEEEI..KFFI..KHH 
 D right 1		99 BBBCCL..DD.L..JAALI.JEEEI..KFFI..KHH 
 J  down 2		98 BBBCCL..DD.L...AALI..EEEI.JKFFI.JKHH 
 I    up 1		99 BBBCCL..DD.LI..AALI..EEEI.JKFF..JKHH 
 J    up 1		99 BBBCCL..DD.LI..AALI.JEEEI.JKFF...KHH 
 A  left 2		98 BBBCCL..DD.LIAA..LI.JEEEI.JKFF...KHH 
 D right 1		99 BBBCCL...DDLIAA..LI.JEEEI.JKFF...KHH 
 J  down 1		99 BBBCCL...DDLIAA..LI..EEEI.JKFF..JKHH 
 A right 1		99 BBBCCL...DDLI.AA.LI..EEEI.JKFF..JKHH 
 I  down 1		99 BBBCCL...DDL..AA.LI..EEEI.JKFFI.JKHH 
 J    up 1		99 BBBCCL...DDL..AA.LI.JEEEI.JKFFI..KHH 
 I    up 2		98 BBBCCLI..DDLI.AA.LI.JEEE..JKFF...KHH 
 D  left 1		99 BBBCCLI.DD.LI.AA.LI.JEEE..JKFF...KHH 
 J  down 1		99 BBBCCLI.DD.LI.AA.LI..EEE..JKFF..JKHH 
 E  left 2		98 BBBCCLI.DD.LI.AA.LIEEE....JKFF..JKHH 
 I  down 2		98 BBBCCL..DD.L..AA.LIEEE..I.JKFFI.JKHH 
 E right 1		99 BBBCCL..DD.L..AA.LI.EEE.I.JKFFI.JKHH 
 I    up 1		99 BBBCCL..DD.LI.AA.LI.EEE.I.JKFF..JKHH 
 D  left 2		98 BBBCCLDD...LI.AA.LI.EEE.I.JKFF..JKHH 
 E  left 1		99 BBBCCLDD...LI.AA.LIEEE..I.JKFF..JKHH 
 L  down 1		99 BBBCC.DD...LI.AA.LIEEE.LI.JKFF..JKHH 
 D right 2		98 BBBCC...DD.LI.AA.LIEEE.LI.JKFF..JKHH 
 C right 1		99 BBB.CC..DD.LI.AA.LIEEE.LI.JKFF..JKHH 
 I  down 1		99 BBB.CC..DD.L..AA.LIEEE.LI.JKFFI.JKHH 
 E right 1		99 BBB.CC..DD.L..AA.LI.EEELI.JKFFI.JKHH 
 I    up 2		98 BBB.CCI.DD.LI.AA.LI.EEEL..JKFF..JKHH 
 A right 1		99 BBB.CCI.DD.LI..AALI.EEEL..JKFF..JKHH 
 E  left 1		99 BBB.CCI.DD.LI..AALIEEE.L..JKFF..JKHH 
 A  left 2		98 BBB.CCI.DD.LIAA..LIEEE.L..JKFF..JKHH 
