5 0 5 .HIBB..HIJKLAAIJKLCC.DDLG...EEG..FFF B97 C99 D96 E95 F97 G99 J97 K97 L90 
5 0 5 .HIBB..HIJKLAAIJKLCC.DDLG...EEG.FFF. B97 C99 D96 E95 F98 G99 J97 K97 L90 
5 0 5 .HI.BB.HIJK.AAIJKL.CCDDLG.EE.LGFFF.. B98 C98 D96 E97 F99 G99 J97 K97 L91 
5 0 5 .HIJBB.HIJK.AAI.KLCC.DDLG.EE.LGFFF.. B98 C99 D96 E97 F99 G99 J96 K97 L91 
5 0 5 .HIBB..HIJK.AAIJKLCC.DDLG.EE.LGFFF.. B97 C99 D96 E97 F99 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJK.AAIJKL.CCDDLG..EELGFFF.. B98 C98 D96 E96 F99 G99 J97 K97 L91 
5 0 5 .HIJBB.HIJK.AAI.KLCC.DDLG..EELGFFF.. B98 C99 D96 E96 F99 G99 J96 K97 L91 
5 0 5 .HIBB..HIJK.AAIJKLCC.DDLG..EELGFFF.. B97 C99 D96 E96 F99 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJK.AAIJK..CCDDLGEE..LGFFF.L B98 C98 D96 E98 F99 G99 J97 K97 L90 
5 0 5 .HIJBB.HIJK.AAI.K.CC.DDLGEE..LGFFF.L B98 C99 D96 E98 F99 G99 J96 K97 L90 
5 0 5 .HIBB..HIJK.AAIJK.CC.DDLGEE..LGFFF.L B97 C99 D96 E98 F99 G99 J97 K97 L90 
5 0 5 .HI.BB.HIJK.AAIJKL.CCDDLGEE..LG.FFF. B98 C98 D96 E98 F98 G99 J97 K97 L91 
5 0 5 .HIJBB.HIJK.AAI.KLCC.DDLGEE..LG.FFF. B98 C99 D96 E98 F98 G99 J96 K97 L91 
5 0 5 .HIBB..HIJK.AAIJKLCC.DDLGEE..LG.FFF. B97 C99 D96 E98 F98 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJKLAAIJKLCCDD.LGEE...G..FFF B98 C99 D95 E98 F97 G99 J97 K97 L90 
5 0 5 .HI.BB.HIJKLAAIJKL.CCDDLGEE...G..FFF B98 C98 D96 E98 F97 G99 J97 K97 L90 
5 0 5 .HIJBB.HIJKLAAI.KLCC.DDLGEE...G..FFF B98 C99 D96 E98 F97 G99 J96 K97 L90 
5 0 5 .HIBB..HIJKLAAIJKLCC.DDLGEE...G..FFF B97 C99 D96 E98 F97 G99 J97 K97 L90 
5 0 5 .HI.BB.HIJK.AAIJKLCCDD.LG.EE.LG..FFF B98 C99 D95 E97 F97 G99 J97 K97 L91 
