Initial board configuration: ..CC.MDD.K.MAA.K.NIEEL.NI.JLGGHHJ...

[['.' '.' 'C' 'C' '.' 'M']
 ['D' 'D' '.' 'K' '.' 'M']
 ['A' 'A' '.' 'K' '.' 'N']
 ['I' 'E' 'E' 'L' '.' 'N']
 ['I' '.' 'J' 'L' 'G' 'G']
 ['H' 'H' 'J' '.' '.' '.']]

Car fuel available: I:100; N:100; M:100; D:100; J:100; C:100; E:100; L:100; A:100; K:100; G:100; H:100; 

Runtime: 3.56699275970459
Search path length: 1294
Solution path length: 113
Solution path: | L  down 1| E right 2| J    up 1| H right 1| I  down 1| A right 1| I    up 2| H  left 1| J  down 1| E  left 2| L    up 1| D right 1| I  down 1| L  down 1| E right 2| J    up 1| H right 1| I    up 3| A  left 1| H  left 1| J  down 1| E  left 3| L    up 1| J    up 1| H right 4| L  down 1| J  down 1| E right 3| J    up 1| A right 1| I  down 4| J  down 1| I    up 3| E  left 3| L    up 1| H  left 1| J    up 1| H  left 3| L  down 1| H right 1| K  down 1| D right 2| H  left 1| J  down 1| E right 1| I  down 2| A  left 1| D  left 2| C right 1| K    up 1| L    up 1| C  left 3| K    up 1| L  down 1| C right 1| L    up 2| G  left 1| N  down 2| A right 1| N    up 1| I    up 3| E  left 1| N  down 1| J    up 1| H right 3| N    up 1| H right 1| J  down 1| E right 1| H  left 1| N  down 1| I  down 4| E  left 1| N    up 1| H right 1| J    up 1| H  left 3| N  down 1| H right 1| A  left 1| H right 1| N    up 1| D  left 1| H right 1| J  down 1| E right 1| H  left 1| N  down 1| I    up 1| A right 1| N    up 1| H right 1| I    up 1| C  left 1| H  left 1| N  down 1| I  down 2| E  left 1| N    up 1| H right 1| J    up 1| H  left 3| N  down 1| H right 1| A  left 1| H right 1| J    up 3| H  left 2| N    up 1| H right 3| G  left 2| L  down 2| A right 4

 L    up 1		99 ...CCM.DDK.MAA.K.NIEEL.NI.JLGGHHJ... 
 C  left 3		97 CC...M.DDK.MAA.K.NIEEL.NI.JLGGHHJ... 
 K    up 1		99 CC.K.M.DDK.MAA...NIEEL.NI.JLGGHHJ... 
 L  down 1		99 CC.K.M.DDK.MAA...NIEE..NI.JLGGHHJL.. 
 C right 1		99 .CCK.M.DDK.MAA...NIEE..NI.JLGGHHJL.. 
 L    up 2		98 .CCK.M.DDK.MAA.L.NIEEL.NI.J.GGHHJ... 
 G  left 1		99 .CCK.M.DDK.MAA.L.NIEEL.NI.JGG.HHJ... 
 N  down 2		98 .CCK.M.DDK.MAA.L..IEEL..I.JGGNHHJ..N 
 A right 1		99 .CCK.M.DDK.M.AAL..IEEL..I.JGGNHHJ..N 
 N    up 1		99 .CCK.M.DDK.M.AAL..IEEL.NI.JGGNHHJ... 
 I    up 3		97 ICCK.MIDDK.M.AAL...EEL.N..JGGNHHJ... 
 E  left 1		99 ICCK.MIDDK.M.AAL..EE.L.N..JGGNHHJ... 
 N  down 1		99 ICCK.MIDDK.M.AAL..EE.L....JGGNHHJ..N 
 J    up 1		99 ICCK.MIDDK.M.AAL..EEJL....JGGNHH...N 
 H right 3		97 ICCK.MIDDK.M.AAL..EEJL....JGGN...HHN 
 N    up 1		99 ICCK.MIDDK.M.AAL..EEJL.N..JGGN...HH. 
 H right 1		99 ICCK.MIDDK.M.AAL..EEJL.N..JGGN....HH 
 J  down 1		99 ICCK.MIDDK.M.AAL..EE.L.N..JGGN..J.HH 
 E right 1		99 ICCK.MIDDK.M.AAL...EEL.N..JGGN..J.HH 
 H  left 1		99 ICCK.MIDDK.M.AAL...EEL.N..JGGN..JHH. 
 N  down 1		99 ICCK.MIDDK.M.AAL...EEL....JGGN..JHHN 
 I  down 4		96 .CCK.M.DDK.M.AAL...EEL..I.JGGNI.JHHN 
 E  left 1		99 .CCK.M.DDK.M.AAL..EE.L..I.JGGNI.JHHN 
 N    up 1		99 .CCK.M.DDK.M.AAL..EE.L.NI.JGGNI.JHH. 
 H right 1		99 .CCK.M.DDK.M.AAL..EE.L.NI.JGGNI.J.HH 
 J    up 1		99 .CCK.M.DDK.M.AAL..EEJL.NI.JGGNI...HH 
 H  left 3		97 .CCK.M.DDK.M.AAL..EEJL.NI.JGGNIHH... 
 N  down 1		99 .CCK.M.DDK.M.AAL..EEJL..I.JGGNIHH..N 
 H right 1		99 .CCK.M.DDK.M.AAL..EEJL..I.JGGNI.HH.N 
 A  left 1		99 .CCK.M.DDK.MAA.L..EEJL..I.JGGNI.HH.N 
 H right 1		99 .CCK.M.DDK.MAA.L..EEJL..I.JGGNI..HHN 
 N    up 1		99 .CCK.M.DDK.MAA.L..EEJL.NI.JGGNI..HH. 
