4 0 4 F.BB.KFCCC.K.AAI..DDHIJ.G.HIJLG.EEEL A94 B94 C98 D98 E91 F99 G98 H95 I98 J93 K98 L98 
4 0 4 F.BB.KFCCC.K.AAIJ.DDHIJ.G.HI.LG.EEEL A94 B94 C98 D98 E91 F99 G98 H95 I98 J92 K98 L98 
4 0 4 F.BB.KFCCC.KAA.IJ.DDHIJ.G.HI.LG.EEEL A93 B94 C98 D98 E91 F99 G98 H95 I98 J92 K98 L98 
4 0 4 F.BB.KFCCC.KAA.IJ.DDHIJ.G.HI.LGEEE.L A93 B94 C98 D98 E90 F99 G98 H95 I98 J92 K98 L98 
4 0 4 F.BB.KFCCC.KAA.IJ.DDHIJLG.HI.LGEEE.. A93 B94 C98 D98 E90 F99 G98 H95 I98 J92 K98 L97 
4 0 4 F.BB..FCCC.KAA.IJKDDHIJLG.HI.LGEEE.. A93 B94 C98 D98 E90 F99 G98 H95 I98 J92 K97 L97 
4 0 4 F.BB..FCCC.KAA.IJKDDHIJLG.HI.LG.EEE. A93 B94 C98 D98 E89 F99 G98 H95 I98 J92 K97 L97 
4 0 4 F.BB..FCCC.KAA.I.KDDHIJLG.HIJLG.EEE. A93 B94 C98 D98 E89 F99 G98 H95 I98 J91 K97 L97 
4 0 4 F.BB..FCCC.KAA.I.KDDHIJ.G.HIJLG.EEEL A93 B94 C98 D98 E89 F99 G98 H95 I98 J91 K97 L96 
4 0 4 F.BB..FCCC.KAA.I.KDDHIJ.G.HIJLGEEE.L A93 B94 C98 D98 E88 F99 G98 H95 I98 J91 K97 L96 
4 0 4 F.BB..F.CCCKAA.I.KDDHIJ.G.HIJLGEEE.L A93 B94 C97 D98 E88 F99 G98 H95 I98 J91 K97 L96 
4 0 4 F.BB..F.CCCKAA.I.KDDHIJLG.HIJLGEEE.. A93 B94 C97 D98 E88 F99 G98 H95 I98 J91 K97 L95 
4 0 4 F.BB..F.CCCK.AAI.KDDHIJLG.HIJLGEEE.. A92 B94 C97 D98 E88 F99 G98 H95 I98 J91 K97 L95 
4 0 4 F.BB..F.CCCK.AAI.KDDHIJLG.HIJLG.EEE. A92 B94 C97 D98 E87 F99 G98 H95 I98 J91 K97 L95 
4 0 4 F.BB..F.CCCK.AAI.KDDHIJ.G.HIJLG.EEEL A92 B94 C97 D98 E87 F99 G98 H95 I98 J91 K97 L94 
4 0 4 F.BB..F.CCCK.AAIJKDDHIJ.G.HI.LG.EEEL A92 B94 C97 D98 E87 F99 G98 H95 I98 J90 K97 L94 
4 0 4 F.BB..F.CCCK.AAIJKDDHIJ.G.HI.LGEEE.L A92 B94 C97 D98 E86 F99 G98 H95 I98 J90 K97 L94 
4 0 4 F.BB.KF.CCCK.AAIJ.DDHIJ.G.HI.LGEEE.L A92 B94 C97 D98 E86 F99 G98 H95 I98 J90 K96 L94 
4 0 4 F..BBKF.CCCK.AAIJ.DDHIJ.G.HI.LGEEE.L A92 B93 C97 D98 E86 F99 G98 H95 I98 J90 K96 L94 
4 0 4 F..BBKF.CCCK.AAIJ.DDHIJ.G.HI.LG.EEEL A92 B93 C97 D98 E85 F99 G98 H95 I98 J90 K96 L94 
4 0 4 F..BBKF.CCCK.AAI..DDHIJ.G.HIJLG.EEEL A92 B93 C97 D98 E85 F99 G98 H95 I98 J89 K96 L94 
4 0 4 FBB..KF.CCCK.AAI..DDHIJ.G.HIJLG.EEEL A92 B91 C97 D98 E85 F99 G98 H95 I98 J89 K96 L94 
4 0 4 FBB..KF.CCCK.AAI..DDHIJ.G.HIJLGEEE.L A92 B91 C97 D98 E84 F99 G98 H95 I98 J89 K96 L94 
4 0 4 FBB..KF.CCCKAA.I..DDHIJ.G.HIJLGEEE.L A91 B91 C97 D98 E84 F99 G98 H95 I98 J89 K96 L94 
4 0 4 FBB..KF.CCCKAA.I..DDHIJLG.HIJLGEEE.. A91 B91 C97 D98 E84 F99 G98 H95 I98 J89 K96 L93 
4 0 4 FBB..KF.CCCKAA.I..DDHIJLG.HIJLG.EEE. A91 B91 C97 D98 E83 F99 G98 H95 I98 J89 K96 L93 
4 0 4 FBB..KF.CCCKAA.IJ.DDHIJLG.HI.LG.EEE. A91 B91 C97 D98 E83 F99 G98 H95 I98 J88 K96 L93 
4 0 4 FBB..KF.CCCKAA.IJ.DDHIJ.G.HI.LG.EEEL A91 B91 C97 D98 E83 F99 G98 H95 I98 J88 K96 L92 
4 0 4 FBB...F.CCCKAA.IJKDDHIJ.G.HI.LG.EEEL A91 B91 C97 D98 E83 F99 G98 H95 I98 J88 K95 L92 
4 0 4 FBB...F.CCCKAA.IJKDDHIJ.G.HI.LGEEE.L A91 B91 C97 D98 E82 F99 G98 H95 I98 J88 K95 L92 
4 0 4 FBB...F.CCCKAA.IJKDDHIJLG.HI.LGEEE.. A91 B91 C97 D98 E82 F99 G98 H95 I98 J88 K95 L91 
4 0 4 FBB...F.CCCK.AAIJKDDHIJLG.HI.LGEEE.. A90 B91 C97 D98 E82 F99 G98 H95 I98 J88 K95 L91 
4 0 4 FBB...F.CCCK.AAIJKDDHIJLG.HI.LG.EEE. A90 B91 C97 D98 E81 F99 G98 H95 I98 J88 K95 L91 
4 0 4 FBB...FCCC.K.AAIJKDDHIJLG.HI.LG.EEE. A90 B91 C96 D98 E81 F99 G98 H95 I98 J88 K95 L91 
4 0 4 FBB...FCCC.K.AAIJKDDHIJ.G.HI.LG.EEEL A90 B91 C96 D98 E81 F99 G98 H95 I98 J88 K95 L90 
4 0 4 FBB...FCCC.K.AAIJKDDHIJ.G.HI.LGEEE.L A90 B91 C96 D98 E80 F99 G98 H95 I98 J88 K95 L90 
4 0 4 FBB...FCCC.K.AAI.KDDHIJ.G.HIJLGEEE.L A90 B91 C96 D98 E80 F99 G98 H95 I98 J87 K95 L90 
4 0 4 FBB...FCCC.K.AAI.KDDHIJLG.HIJLGEEE.. A90 B91 C96 D98 E80 F99 G98 H95 I98 J87 K95 L89 
4 0 4 FBB...FCCC.KAA.I.KDDHIJLG.HIJLGEEE.. A89 B91 C96 D98 E80 F99 G98 H95 I98 J87 K95 L89 
4 0 4 F..BB.FCCC.K.AAI.KDDHIJLG.HIJLGEEE.. A90 B89 C96 D98 E80 F99 G98 H95 I98 J87 K95 L89 
4 0 4 F..BB.FCCC.K.AAI.KDDHIJLG.HIJLG.EEE. A90 B89 C96 D98 E79 F99 G98 H95 I98 J87 K95 L89 
4 0 4 F..BB.FCCC.K.AAI.KDDHIJ.G.HIJLG.EEEL A90 B89 C96 D98 E79 F99 G98 H95 I98 J87 K95 L88 
4 0 4 F...BBFCCC.K.AAI.KDDHIJ.G.HIJLG.EEEL A90 B88 C96 D98 E79 F99 G98 H95 I98 J87 K95 L88 
4 0 4 F..BB.FCCC.K.AAIJKDDHIJLG.HI.LGEEE.. A90 B89 C96 D98 E80 F99 G98 H95 I98 J86 K95 L89 
4 0 4 F...BBFCCC.K.AAI.KDDHIJ.G.HIJLGEEE.L A90 B88 C96 D98 E80 F99 G98 H95 I98 J87 K95 L90 
4 0 4 F...BBF.CCCK.AAI.KDDHIJ.G.HIJLGEEE.L A90 B88 C95 D98 E80 F99 G98 H95 I98 J87 K95 L90 
4 0 4 F..BB.F.CCCK.AAI.KDDHIJ.G.HIJLGEEE.L A90 B87 C95 D98 E80 F99 G98 H95 I98 J87 K95 L90 
4 0 4 F..BB.FCCC.K.AAI.KDDHIJ.G.HIJLGEEE.L A90 B89 C96 D98 E80 F99 G98 H95 I98 J87 K95 L90 
4 0 4 FBB..KFCCC.K.AAIJ.DDHIJ.G.HI.LGEEE.L A90 B91 C96 D98 E80 F99 G98 H95 I98 J88 K94 L90 
4 0 4 F...BBFCCC.K.AAIJKDDHIJ.G.HI.LGEEE.L A90 B88 C96 D98 E80 F99 G98 H95 I98 J88 K95 L90 
4 0 4 F...BBFCCC.KAA.IJKDDHIJ.G.HI.LGEEE.L A89 B88 C96 D98 E80 F99 G98 H95 I98 J88 K95 L90 
4 0 4 F...BBFCCC.KAA.IJKDDHIJ.G.HI.LG.EEEL A89 B88 C96 D98 E79 F99 G98 H95 I98 J88 K95 L90 
4 0 4 F..BB.FCCC.KAA.IJKDDHIJ.G.HI.LG.EEEL A89 B87 C96 D98 E79 F99 G98 H95 I98 J88 K95 L90 
4 0 4 F..BB.FCCC.KAA.IJKDDHIJ.G.HI.LGEEE.L A89 B87 C96 D98 E80 F99 G98 H95 I98 J88 K95 L90 
4 0 4 F..BB.FCCC.K.AAIJKDDHIJ.G.HI.LGEEE.L A90 B89 C96 D98 E80 F99 G98 H95 I98 J88 K95 L90 
4 0 4 FBB...FCCC.K.AAI.KDDHIJ.G.HIJLG.EEEL A90 B91 C96 D98 E81 F99 G98 H95 I98 J87 K95 L90 
4 0 4 F...BBFCCC.K.AAIJKDDHIJ.G.HI.LG.EEEL A90 B88 C96 D98 E81 F99 G98 H95 I98 J88 K95 L90 
4 0 4 F..BB.FCCC.K.AAIJKDDHIJ.G.HI.LG.EEEL A90 B89 C96 D98 E81 F99 G98 H95 I98 J88 K95 L90 
4 0 4 FBB...FCCC.K.AAI.KDDHIJLG.HIJLG.EEE. A90 B91 C96 D98 E81 F99 G98 H95 I98 J87 K95 L91 
4 0 4 F..BB.FCCC.K.AAIJKDDHIJLG.HI.LG.EEE. A90 B89 C96 D98 E81 F99 G98 H95 I98 J88 K95 L91 
