Initial board configuration: HIBBCCHIDDL.HAAKL.EEEKL...JFF...JGG.

[['H' 'I' 'B' 'B' 'C' 'C']
 ['H' 'I' 'D' 'D' 'L' '.']
 ['H' 'A' 'A' 'K' 'L' '.']
 ['E' 'E' 'E' 'K' 'L' '.']
 ['.' '.' 'J' 'F' 'F' '.']
 ['.' '.' 'J' 'G' 'G' '.']]

Car fuel available: I:100; D:100; J:100; C:100; E:100; L:100; F:100; A:100; B:100; K:100; G:100; H:100; 

Runtime: 1.4100017547607422
Search path length: 1014
Solution path length: 99
Solution path: | G right 1| F right 1| K  down 2| E right 1| A right 1| H  down 3| I  down 1| H    up 2| B  left 2| H  down 1| C  left 2| H  down 1| L    up 1| E right 2| J    up 1| H    up 2| I  down 3| J  down 1| I    up 2| E  left 1| I  down 1| H  down 2| I  down 1| E  left 1| H    up 1| L  down 1| A  left 1| H  down 1| A  left 1| D  left 2| A right 2| D right 1| H    up 2| A  left 1| C right 2| H  down 2| A  left 1| C  left 1| B right 1| A right 2| H    up 3| E  left 1| K    up 1| G  left 1| A  left 1| K    up 1| F  left 1| G right 1| K    up 1| E right 1| G  left 1| F right 1| H  down 3| G right 1| H    up 2| B  left 1| G  left 1| F  left 1| H  down 2| G right 1| H    up 1| D  left 1| G  left 1| F right 1| H  down 1| G right 1| A  left 1| F  left 1| G  left 1| C  left 1| F right 1| L    up 1| G right 1| F  left 1| E right 2| J    up 2| F  left 1| G  left 2| I    up 1| G right 1| J    up 1| G right 1| E  left 1| G  left 3| F right 2| G right 2| F  left 1| G  left 1| I  down 1| G right 2| F right 1| E  left 1| G  left 2| F  left 2| L  down 3| C right 2| K    up 1| J    up 1| A right 4

 G right 1		99 .BBCC..DDKL..AAKL.HEEEL.HIJ.FFHIJ.GG 
 H    up 2		98 .BBCC.HDDKL.HAAKL.HEEEL..IJ.FF.IJ.GG 
 B  left 1		99 BB.CC.HDDKL.HAAKL.HEEEL..IJ.FF.IJ.GG 
 G  left 1		99 BB.CC.HDDKL.HAAKL.HEEEL..IJ.FF.IJGG. 
 F  left 1		99 BB.CC.HDDKL.HAAKL.HEEEL..IJFF..IJGG. 
 H  down 2		98 BB.CC..DDKL..AAKL.HEEEL.HIJFF.HIJGG. 
 G right 1		99 BB.CC..DDKL..AAKL.HEEEL.HIJFF.HIJ.GG 
 H    up 1		99 BB.CC..DDKL.HAAKL.HEEEL.HIJFF..IJ.GG 
 D  left 1		99 BB.CC.DD.KL.HAAKL.HEEEL.HIJFF..IJ.GG 
 G  left 1		99 BB.CC.DD.KL.HAAKL.HEEEL.HIJFF..IJGG. 
 F right 1		99 BB.CC.DD.KL.HAAKL.HEEEL.HIJ.FF.IJGG. 
 H  down 1		99 BB.CC.DD.KL..AAKL.HEEEL.HIJ.FFHIJGG. 
 G right 1		99 BB.CC.DD.KL..AAKL.HEEEL.HIJ.FFHIJ.GG 
 A  left 1		99 BB.CC.DD.KL.AA.KL.HEEEL.HIJ.FFHIJ.GG 
 F  left 1		99 BB.CC.DD.KL.AA.KL.HEEEL.HIJFF.HIJ.GG 
 G  left 1		99 BB.CC.DD.KL.AA.KL.HEEEL.HIJFF.HIJGG. 
 C  left 1		99 BBCC..DD.KL.AA.KL.HEEEL.HIJFF.HIJGG. 
 F right 1		99 BBCC..DD.KL.AA.KL.HEEEL.HIJ.FFHIJGG. 
