 F right 1		99 BBBJL.HCCJLMH..AAMDDI..M..IKEE.FFKGG 
 I    up 1		99 BBBJL.HCCJLMH.IAAMDDI..M...KEE.FFKGG 
 K    up 1		99 BBBJL.HCCJLMH.IAAMDDIK.M...KEE.FF.GG 
 G  left 1		99 BBBJL.HCCJLMH.IAAMDDIK.M...KEE.FFGG. 
 F  left 1		99 BBBJL.HCCJLMH.IAAMDDIK.M...KEEFF.GG. 
 G  left 1		99 BBBJL.HCCJLMH.IAAMDDIK.M...KEEFFGG.. 
 M    up 1		99 BBBJLMHCCJLMH.IAAMDDIK.....KEEFFGG.. 
 G right 2		98 BBBJLMHCCJLMH.IAAMDDIK.....KEEFF..GG 
 K  down 1		99 BBBJLMHCCJLMH.IAAMDDI......KEEFF.KGG 
 I  down 2		98 BBBJLMHCCJLMH..AAMDD......IKEEFFIKGG 
 D right 4		96 BBBJLMHCCJLMH..AAM....DD..IKEEFFIKGG 
 K    up 1		99 BBBJLMHCCJLMH..AAM...KDD..IKEEFFI.GG 
 G  left 1		99 BBBJLMHCCJLMH..AAM...KDD..IKEEFFIGG. 
 I    up 2		98 BBBJLMHCCJLMH.IAAM..IKDD...KEEFF.GG. 
 G  left 1		99 BBBJLMHCCJLMH.IAAM..IKDD...KEEFFGG.. 
 I  down 1		99 BBBJLMHCCJLMH..AAM..IKDD..IKEEFFGG.. 
 A  left 2		98 BBBJLMHCCJLMHAA..M..IKDD..IKEEFFGG.. 
 G right 2		98 BBBJLMHCCJLMHAA..M..IKDD..IKEEFF..GG 
 F right 2		98 BBBJLMHCCJLMHAA..M..IKDD..IKEE..FFGG 
 A right 2		98 BBBJLMHCCJLMH..AAM..IKDD..IKEE..FFGG 
 F  left 1		99 BBBJLMHCCJLMH..AAM..IKDD..IKEE.FF.GG 
 G  left 1		99 BBBJLMHCCJLMH..AAM..IKDD..IKEE.FFGG. 
 A  left 2		98 BBBJLMHCCJLMHAA..M..IKDD..IKEE.FFGG. 
 H  down 3		97 BBBJLM.CCJLM.AA..M..IKDDH.IKEEHFFGG. 
 G right 1		99 BBBJLM.CCJLM.AA..M..IKDDH.IKEEHFF.GG 
 K  down 1		99 BBBJLM.CCJLM.AA..M..I.DDH.IKEEHFFKGG 
 H    up 3		97 BBBJLMHCCJLMHAA..M..I.DD..IKEE.FFKGG 
 D  left 1		99 BBBJLMHCCJLMHAA..M..IDD...IKEE.FFKGG 
 F  left 1		99 BBBJLMHCCJLMHAA..M..IDD...IKEEFF.KGG 
 I  down 1		99 BBBJLMHCCJLMHAA..M...DD...IKEEFFIKGG 
 D  left 2		98 BBBJLMHCCJLMHAA..M.DD.....IKEEFFIKGG 
 K    up 1		99 BBBJLMHCCJLMHAA..M.DDK....IKEEFFI.GG 
 G  left 1		99 BBBJLMHCCJLMHAA..M.DDK....IKEEFFIGG. 
 A right 2		98 BBBJLMHCCJLMH..AAM.DDK....IKEEFFIGG. 
 M  down 1		99 BBBJL.HCCJLMH..AAM.DDK.M..IKEEFFIGG. 
 G right 1		99 BBBJL.HCCJLMH..AAM.DDK.M..IKEEFFI.GG 
 K  down 1		99 BBBJL.HCCJLMH..AAM.DD..M..IKEEFFIKGG 
 D right 2		98 BBBJL.HCCJLMH..AAM...DDM..IKEEFFIKGG 
 I    up 2		98 BBBJL.HCCJLMH.IAAM..IDDM...KEEFF.KGG 
 F right 1		99 BBBJL.HCCJLMH.IAAM..IDDM...KEE.FFKGG 
 I  down 1		99 BBBJL.HCCJLMH..AAM..IDDM..IKEE.FFKGG 
 A  left 1		99 BBBJL.HCCJLMH.AA.M..IDDM..IKEE.FFKGG 
 F  left 1		99 BBBJL.HCCJLMH.AA.M..IDDM..IKEEFF.KGG 
 H  down 2		98 BBBJL..CCJLM..AA.MH.IDDMH.IKEEFF.KGG 
 I  down 1		99 BBBJL..CCJLM..AA.MH..DDMH.IKEEFFIKGG 
 D  left 2		98 BBBJL..CCJLM..AA.MHDD..MH.IKEEFFIKGG 
 K    up 1		99 BBBJL..CCJLM..AA.MHDDK.MH.IKEEFFI.GG 
 G  left 1		99 BBBJL..CCJLM..AA.MHDDK.MH.IKEEFFIGG. 
 H    up 1		99 BBBJL..CCJLMH.AA.MHDDK.M..IKEEFFIGG. 
 A  left 1		99 BBBJL..CCJLMHAA..MHDDK.M..IKEEFFIGG. 
 G right 1		99 BBBJL..CCJLMHAA..MHDDK.M..IKEEFFI.GG 
