 E  left 1		99 BBB.CC..KDDM..KAAMJEEE.MJFFLGGJIIL.. 
 J    up 2		98 BBB.CCJ.KDDMJ.KAAMJEEE.M.FFLGG.IIL.. 
 I  left 1		99 BBB.CCJ.KDDMJ.KAAMJEEE.M.FFLGGII.L.. 
 F  left 1		99 BBB.CCJ.KDDMJ.KAAMJEEE.MFF.LGGII.L.. 
 E right 1		99 BBB.CCJ.KDDMJ.KAAMJ.EEEMFF.LGGII.L.. 
 I right 1		99 BBB.CCJ.KDDMJ.KAAMJ.EEEMFF.LGG.IIL.. 
 B right 1		99 .BBBCCJ.KDDMJ.KAAMJ.EEEMFF.LGG.IIL.. 
 F right 1		99 .BBBCCJ.KDDMJ.KAAMJ.EEEM.FFLGG.IIL.. 
 I  left 1		99 .BBBCCJ.KDDMJ.KAAMJ.EEEM.FFLGGII.L.. 
 J    up 1		99 JBBBCCJ.KDDMJ.KAAM..EEEM.FFLGGII.L.. 
 F  left 1		99 JBBBCCJ.KDDMJ.KAAM..EEEMFF.LGGII.L.. 
 E  left 2		98 JBBBCCJ.KDDMJ.KAAMEEE..MFF.LGGII.L.. 
 I right 1		99 JBBBCCJ.KDDMJ.KAAMEEE..MFF.LGG.IIL.. 
 L    up 1		99 JBBBCCJ.KDDMJ.KAAMEEEL.MFF.LGG.II... 
 I right 3		97 JBBBCCJ.KDDMJ.KAAMEEEL.MFF.LGG....II 
 L  down 1		99 JBBBCCJ.KDDMJ.KAAMEEE..MFF.LGG...LII 
 F right 1		99 JBBBCCJ.KDDMJ.KAAMEEE..M.FFLGG...LII 
 E right 2		98 JBBBCCJ.KDDMJ.KAAM..EEEM.FFLGG...LII 
 J  down 3		97 .BBBCC..KDDM..KAAMJ.EEEMJFFLGGJ..LII 
 E  left 1		99 .BBBCC..KDDM..KAAMJEEE.MJFFLGGJ..LII 
 J    up 2		98 .BBBCCJ.KDDMJ.KAAMJEEE.M.FFLGG...LII 
 F  left 1		99 .BBBCCJ.KDDMJ.KAAMJEEE.MFF.LGG...LII 
 E right 1		99 .BBBCCJ.KDDMJ.KAAMJ.EEEMFF.LGG...LII 
 B  left 1		99 BBB.CCJ.KDDMJ.KAAMJ.EEEMFF.LGG...LII 
 F right 1		99 BBB.CCJ.KDDMJ.KAAMJ.EEEM.FFLGG...LII 
 J  down 1		99 BBB.CC..KDDMJ.KAAMJ.EEEMJFFLGG...LII 
