1 0 1 BBCCL...DDL.HAA.L.HIJEEEHIJKFF...KGG A92 B98 C98 D96 E91 F99 G99 H80 I85 J93 K98 L97 
1 0 1 BBCCL...DDL.HAA.L.H.JEEEHIJKFF.I.KGG A92 B98 C98 D96 E91 F99 G99 H80 I84 J93 K98 L97 
1 0 1 BBCCL...DDL..AA.L.H.JEEEHIJKFFHI.KGG A92 B98 C98 D96 E91 F99 G99 H79 I84 J93 K98 L97 
1 0 1 BBCCL...DDL..AA.L.H..EEEHIJKFFHIJKGG A92 B98 C98 D96 E91 F99 G99 H79 I84 J92 K98 L97 
1 0 1 BBCCL...DDL.AA..L.H..EEEHIJKFFHIJKGG A91 B98 C98 D96 E91 F99 G99 H79 I84 J92 K98 L97 
1 0 1 BBCCL...DDL.AA..L.HI.EEEHIJKFFH.JKGG A91 B98 C98 D96 E91 F99 G99 H79 I83 J92 K98 L97 
1 0 1 BBCCL...DDL.AA..L.HIJEEEHIJKFFH..KGG A91 B98 C98 D96 E91 F99 G99 H79 I83 J91 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.HIJEEEHIJKFFH..KGG A91 B98 C98 D94 E91 F99 G99 H79 I83 J91 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.H.JEEEHIJKFFHI.KGG A91 B98 C98 D94 E91 F99 G99 H79 I82 J91 K98 L97 
1 0 1 BBCCL.DD..L...AAL.HIJEEEHIJKFFH..KGG A89 B98 C98 D94 E91 F99 G99 H79 I83 J91 K98 L97 
1 0 1 BBCCL.DD..L...AAL.HI.EEEHIJKFFH.JKGG A89 B98 C98 D94 E91 F99 G99 H79 I83 J90 K98 L97 
1 0 1 BBCCL.DD..L...AAL.H..EEEHIJKFFHIJKGG A89 B98 C98 D94 E91 F99 G99 H79 I82 J90 K98 L97 
1 0 1 BBCCL.DD..L.H.AAL.H..EEEHIJKFF.IJKGG A89 B98 C98 D94 E91 F99 G99 H78 I82 J90 K98 L97 
1 0 1 BBCCL.DD..L.HIAAL.HI.EEEH.JKFF..JKGG A89 B98 C98 D94 E91 F99 G99 H78 I80 J90 K98 L97 
1 0 1 BBCCL.DD..L.HIAAL.HIJEEEH.JKFF...KGG A89 B98 C98 D94 E91 F99 G99 H78 I80 J89 K98 L97 
1 0 1 BBCCL...DDL.HIAAL.HIJEEEH.JKFF...KGG A89 B98 C98 D92 E91 F99 G99 H78 I80 J89 K98 L97 
1 0 1 BBCCL.DD..L.HAA.L.H..EEEHIJKFF.IJKGG A88 B98 C98 D94 E91 F99 G99 H78 I82 J90 K98 L97 
1 0 1 BBCCL.DD..L.HAA.L.HEEE..HIJKFF.IJKGG A88 B98 C98 D94 E89 F99 G99 H78 I82 J90 K98 L97 
1 0 1 BBCCL.DD..L..AA.L.HEEE..HIJKFFHIJKGG A88 B98 C98 D94 E89 F99 G99 H77 I82 J90 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.HI.EEEHIJKFFH.JKGG A91 B98 C98 D94 E91 F99 G99 H79 I83 J92 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.HIEEE.HIJKFFH.JKGG A91 B98 C98 D94 E90 F99 G99 H79 I83 J92 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.H.EEE.HIJKFFHIJKGG A91 B98 C98 D94 E90 F99 G99 H79 I82 J92 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.H..EEEHIJKFFHIJKGG A91 B98 C98 D94 E91 F99 G99 H79 I84 J92 K98 L97 
1 0 1 BBCCL..DD.L.AA..L.H..EEEHIJKFFHIJKGG A91 B98 C98 D95 E91 F99 G99 H79 I84 J92 K98 L97 
1 0 1 BBCCL..DD.L.AA..L.HEEE..HIJKFFHIJKGG A91 B98 C98 D95 E89 F99 G99 H79 I84 J92 K98 L97 
1 0 1 BBCCL.DD..L..AA.L.H..EEEHIJKFFHIJKGG A92 B98 C98 D94 E91 F99 G99 H79 I84 J92 K98 L97 
1 0 1 BBCCL...DDL.AA..L.H.JEEEHIJKFFHI.KGG A91 B98 C98 D96 E91 F99 G99 H79 I84 J93 K98 L97 
1 0 1 BBCCL.DD..L..AA.L.H.JEEEHIJKFFHI.KGG A92 B98 C98 D94 E91 F99 G99 H79 I84 J93 K98 L97 
1 0 1 BBCCL.DD..L.HAA.L.H.JEEEHIJKFF.I.KGG A92 B98 C98 D94 E91 F99 G99 H80 I84 J93 K98 L97 
1 0 1 BBCCL.DD..L.HAA.L.HIJEEEHIJKFF...KGG A92 B98 C98 D94 E91 F99 G99 H80 I85 J93 K98 L97 
1 0 1 BBCCL...DDL.HAA.L.H..EEEHIJKFF.IJKGG A92 B98 C98 D96 E91 F99 G99 H80 I84 J94 K98 L97 
1 0 1 BBCCL...DDL.HAA.L.HIEEE.HIJKFF..JKGG A92 B98 C98 D96 E90 F99 G99 H80 I85 J94 K98 L97 
1 0 1 BBCCL.DD..L.HAA.L.HIEEE.HIJKFF..JKGG A92 B98 C98 D94 E90 F99 G99 H80 I85 J94 K98 L97 
1 0 1 BBCCL.DD..L.H.AAL.HIEEE.HIJKFF..JKGG A91 B98 C98 D94 E90 F99 G99 H80 I85 J94 K98 L97 
1 0 1 BBCCL.H.DDL.HAA.L.HI.EEE.IJKFF..JKGG A92 B98 C98 D96 E91 F99 G99 H79 I85 J94 K98 L97 
1 0 1 BBCCL.DD..L.HAA.L.HI.EEEHIJKFF..JKGG A92 B98 C98 D94 E91 F99 G99 H80 I85 J94 K98 L97 
1 0 1 BBCCL.DD..L.H.AAL.HI.EEEHIJKFF..JKGG A93 B98 C98 D96 E91 F99 G99 H80 I85 J94 K98 L97 
1 0 1 BBCCL...DDL.H.AAL.HIJEEEHIJKFF...KGG A93 B98 C98 D96 E91 F99 G99 H80 I85 J95 K98 L97 
1 0 1 BBCCL.DD..L.H.AAL.HIJEEEHIJKFF...KGG A93 B98 C98 D96 E91 F99 G99 H80 I85 J95 K98 L97 
1 0 1 BBCCL.DD..L.H.AAL.H.JEEEHIJKFF.I.KGG A93 B98 C98 D96 E91 F99 G99 H80 I86 J95 K98 L97 
1 0 1 BBCCL..DD.L.AA..L.H.JEEEHIJKFFHI.KGG A91 B98 C98 D97 E91 F99 G99 H81 I86 J95 K98 L97 
1 0 1 BBCCL.DD..L...AAL.H.JEEEHIJKFFHI.KGG A93 B98 C98 D96 E91 F99 G99 H81 I86 J95 K98 L97 
1 0 1 BBCCL.HDD.L.HIAAL.HIJEEE..JKFF...KGG A93 B98 C98 D97 E91 F99 G99 H79 I88 J95 K98 L97 
1 0 1 BBCCL..DD.L.HIAAL.HIJEEEH.JKFF...KGG A93 B98 C98 D97 E91 F99 G99 H80 I88 J95 K98 L97 
1 0 1 BBCCL.DD..L..IAAL.HIJEEEH.JKFFH..KGG A93 B98 C98 D96 E91 F99 G99 H81 I88 J95 K98 L97 
1 0 1 BBCCL..DD.L...AAL.H..EEEHIJKFFHIJKGG A93 B98 C98 D97 E91 F99 G99 H81 I86 J96 K98 L97 
1 0 1 BBCCL.DD..L..IAAL.HI.EEEH.JKFFH.JKGG A93 B98 C98 D96 E91 F99 G99 H81 I88 J96 K98 L97 
1 0 1 BBCCL.DD..L..IAAL.HIEEE.H.JKFFH.JKGG A93 B98 C98 D96 E92 F99 G99 H81 I88 J96 K98 L97 
1 0 1 BBCCL..DD.L.HIAAL.HI.EEEH.JKFF..JKGG A93 B98 C98 D97 E91 F99 G99 H82 I88 J96 K98 L97 
1 0 1 BBCCL.DD..L.HIAAL.HIEEE.H.JKFF..JKGG A93 B98 C98 D96 E92 F99 G99 H82 I88 J96 K98 L97 
1 0 1 BBCCL..DD.L.H.AAL.HIEEE.HIJKFF..JKGG A93 B98 C98 D97 E92 F99 G99 H82 I89 J96 K98 L97 
1 0 1 BBCCL..DD.L.H.AAL.H..EEEHIJKFF.IJKGG A93 B98 C98 D97 E91 F99 G99 H82 I90 J96 K98 L97 
1 0 1 BBCCL.HDD.L.H.AAL.H.EEE..IJKFF.IJKGG A93 B98 C98 D97 E92 F99 G99 H81 I90 J96 K98 L97 
1 0 1 BBCCL.DD..L.H.AAL.H.EEE.HIJKFF.IJKGG A93 B98 C98 D96 E92 F99 G99 H82 I90 J96 K98 L97 
1 0 1 BBCCL...DDL.HAA.L.H.EEE.HIJKFF.IJKGG A94 B98 C98 D96 E92 F99 G99 H82 I90 J96 K98 L97 
1 0 1 BBCCL.H.DDL.HAA.L.H.EEE..IJKFF.IJKGG A94 B98 C98 D96 E92 F99 G99 H81 I90 J96 K98 L97 
1 0 1 BBCCL.DD..L.HAA.L.H.EEE.HIJKFF.IJKGG A94 B98 C98 D96 E92 F99 G99 H82 I90 J96 K98 L97 
1 0 1 BBCCL..DD.L.AA..L.H.EEE.HIJKFFHIJKGG A93 B98 C98 D97 E92 F99 G99 H83 I90 J96 K98 L97 
1 0 1 BBCCL.DD..L..AA.L.H.EEE.HIJKFFHIJKGG A94 B98 C98 D96 E92 F99 G99 H83 I90 J96 K98 L97 
