 M    up 3		97 .BBCCM.IDDLM.IAAL.HFFFL.H.JK..H.JKGG 
 L  down 1		99 .BBCCM.IDD.M.IAAL.HFFFL.H.JKL.H.JKGG 
 H    up 3		97 HBBCCMHIDD.MHIAAL..FFFL...JKL...JKGG 
 F  left 1		99 HBBCCMHIDD.MHIAAL.FFF.L...JKL...JKGG 
 K    up 1		99 HBBCCMHIDD.MHIAAL.FFFKL...JKL...J.GG 
 G  left 1		99 HBBCCMHIDD.MHIAAL.FFFKL...JKL...JGG. 
 L    up 1		99 HBBCCMHIDDLMHIAAL.FFFKL...JK....JGG. 
 M  down 4		96 HBBCC.HIDDL.HIAAL.FFFKL...JK.M..JGGM 
 C right 1		99 HBB.CCHIDDL.HIAAL.FFFKL...JK.M..JGGM 
 M    up 1		99 HBB.CCHIDDL.HIAAL.FFFKLM..JK.M..JGG. 
 G right 1		99 HBB.CCHIDDL.HIAAL.FFFKLM..JK.M..J.GG 
 K  down 1		99 HBB.CCHIDDL.HIAAL.FFF.LM..JK.M..JKGG 
 B right 1		99 H.BBCCHIDDL.HIAAL.FFF.LM..JK.M..JKGG 
 F right 1		99 H.BBCCHIDDL.HIAAL..FFFLM..JK.M..JKGG 
 L  down 1		99 H.BBCCHIDD..HIAAL..FFFLM..JKLM..JKGG 
 H  down 3		97 ..BBCC.IDD...IAAL.HFFFLMH.JKLMH.JKGG 
 B  left 2		98 BB..CC.IDD...IAAL.HFFFLMH.JKLMH.JKGG 
 C  left 2		98 BBCC...IDD...IAAL.HFFFLMH.JKLMH.JKGG 
 M    up 3		97 BBCC.M.IDD.M.IAAL.HFFFL.H.JKL.H.JKGG 
 H    up 2		98 BBCC.MHIDD.MHIAAL.HFFFL...JKL...JKGG 
 L    up 2		98 BBCCLMHIDDLMHIAAL.HFFF....JK....JKGG 
 F right 2		98 BBCCLMHIDDLMHIAAL.H..FFF..JK....JKGG 
 J    up 1		99 BBCCLMHIDDLMHIAAL.H.JFFF..JK.....KGG 
 H  down 2		98 BBCCLM.IDDLM.IAAL.H.JFFFH.JK..H..KGG 
 I  down 3		97 BBCCLM..DDLM..AAL.H.JFFFHIJK..HI.KGG 
 J  down 1		99 BBCCLM..DDLM..AAL.H..FFFHIJK..HIJKGG 
 I    up 2		98 BBCCLM..DDLM.IAAL.HI.FFFH.JK..H.JKGG 
 F  left 1		99 BBCCLM..DDLM.IAAL.HIFFF.H.JK..H.JKGG 
 I  down 1		99 BBCCLM..DDLM..AAL.HIFFF.HIJK..H.JKGG 
 H    up 2		98 BBCCLMH.DDLMH.AAL.HIFFF..IJK....JKGG 
 I  down 1		99 BBCCLMH.DDLMH.AAL.H.FFF..IJK...IJKGG 
 F  left 1		99 BBCCLMH.DDLMH.AAL.HFFF...IJK...IJKGG 
 H  down 1		99 BBCCLM..DDLMH.AAL.HFFF..HIJK...IJKGG 
 L  down 2		98 BBCC.M..DD.MH.AAL.HFFFL.HIJKL..IJKGG 
 H  down 1		99 BBCC.M..DD.M..AAL.HFFFL.HIJKL.HIJKGG 
 L    up 1		99 BBCC.M..DDLM..AAL.HFFFL.HIJK..HIJKGG 
 A  left 2		98 BBCC.M..DDLMAA..L.HFFFL.HIJK..HIJKGG 
 M  down 3		97 BBCC....DDL.AA..L.HFFFLMHIJK.MHIJKGG 
 L  down 1		99 BBCC....DD..AA..L.HFFFLMHIJKLMHIJKGG 
 A right 1		99 BBCC....DD...AA.L.HFFFLMHIJKLMHIJKGG 
 H    up 2		98 BBCC..H.DD..HAA.L.HFFFLM.IJKLM.IJKGG 
 M    up 3		97 BBCC.MH.DD.MHAA.L.HFFFL..IJKL..IJKGG 
 L    up 1		99 BBCC.MH.DDLMHAA.L.HFFFL..IJK...IJKGG 
 H  down 1		99 BBCC.M..DDLMHAA.L.HFFFL.HIJK...IJKGG 
 M  down 3		97 BBCC....DDL.HAA.L.HFFFLMHIJK.M.IJKGG 
 A right 1		99 BBCC....DDL.H.AAL.HFFFLMHIJK.M.IJKGG 
 H    up 1		99 BBCC..H.DDL.H.AAL.HFFFLM.IJK.M.IJKGG 
 D  left 1		99 BBCC..HDD.L.H.AAL.HFFFLM.IJK.M.IJKGG 
 M    up 3		97 BBCC.MHDD.LMH.AAL.HFFFL..IJK...IJKGG 
 L  down 1		99 BBCC.MHDD..MH.AAL.HFFFL..IJKL..IJKGG 
 D right 2		98 BBCC.MH..DDMH.AAL.HFFFL..IJKL..IJKGG 
 M  down 3		97 BBCC..H..DD.H.AAL.HFFFLM.IJKLM.IJKGG 
 H  down 2		98 BBCC.....DD...AAL.HFFFLMHIJKLMHIJKGG 
 D right 1		99 BBCC......DD..AAL.HFFFLMHIJKLMHIJKGG 
 H    up 1		99 BBCC......DDH.AAL.HFFFLMHIJKLM.IJKGG 
 A  left 1		99 BBCC......DDHAA.L.HFFFLMHIJKLM.IJKGG 
 D  left 4		96 BBCC..DD....HAA.L.HFFFLMHIJKLM.IJKGG 
 M    up 3		97 BBCC.MDD...MHAA.L.HFFFL.HIJKL..IJKGG 
 H  down 1		99 BBCC.MDD...M.AA.L.HFFFL.HIJKL.HIJKGG 
 L    up 2		98 BBCCLMDD..LM.AA.L.HFFF..HIJK..HIJKGG 
 F right 2		98 BBCCLMDD..LM.AA.L.H..FFFHIJK..HIJKGG 
 J    up 1		99 BBCCLMDD..LM.AA.L.H.JFFFHIJK..HI.KGG 
